"","ts_value_id","ts_id","datetime","req_timestamp","ts_value","station_latitude","station_longitude","stationparameter_name","station_name","station_no","dataprovider","dataowner","significant","Portal_Bekken","Actuele.status"
"225",396,"01120650042"," 4 januari 2024 07:02",NA,0,51.1802289652206,2.95611557559961,"H","Oudenburg/Moerdijkvaart","01KL01_311","VMM","VMM","0","Ijzerbekken","Normaal"
"226",397,"0487979010"," 4 januari 2024 07:15",NA,0,51.1830644493435,4.72216724308325,"H","Grobbendonk Opwaarts Krooshekken/Kleine Nete","04knt03m-1115","MOW-HIC","HIC-DVW","0","Netebekken","Normaal"
"227",398,"0488291010"," 4 januari 2024 07:15",NA,0,50.9398630897454,4.6651138839872,"H","Tildonk Sluis Afwaarts DVW/Kl Leuven-Dijle","04LD-TIL-AFW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"228",399,"0494246010"," 4 januari 2024 07:14",NA,0,51.0236412648524,4.49688924255756,"W","Mechelen Stuw Afwaarts tij/Dijle","04dij07a-1066","MOW-HIC","HIC","0","Dijlebekken","Normaal"
"229",404,"0193716042"," 4 januari 2024 07:02",NA,0,50.9182861735234,2.84176626642422,"H","Boezinge/Ieperlee","01L01_495","VMM","VMM","0","Ijzerbekken","Normaal"
"230",405,"04116985010"," 4 januari 2024 07:10",NA,0,50.9993091666234,4.58524634250655,"H","Rijmenam/Dijle","04dij10a-1066","MOW-HIC","HIC","0","Dijlebekken","Normaal"
"231",408,"0488003010"," 4 januari 2024 07:15",NA,0,50.8556936719394,3.30684294601726,"H","Harelbeke Afwaarts DVW/Leie","04WW055-AFW-1073","MOW-HIC","DVW-ARW","0","Leiebekken","Normaal"
"232",409,"01278253042"," 4 januari 2024 07:02",NA,0,50.9067525913702,3.57874295119978,"H","Huise opw/Plankbeek","01L06_34L","VMM","VMM","1","Boven-Scheldebekken","Normaal"
"233",411,"01122324042"," 4 januari 2024 07:02",NA,0,51.1510437480668,3.94728726971344,"H","Moerbeke/Zuidlede","01L03_303","VMM","VMM","0","Bekken Gentse kanalen","Normaal"
"234",412,"0494245010"," 4 januari 2024 07:14",NA,0,51.0337791650306,4.46707629465085,"W","Mechelen Benedensluis tij/Dijle","04dij06a-1066","MOW-HIC","HIC","0","Dijlebekken","Normaal"
"235",414,"04126390010"," 4 januari 2024 07:14",NA,0,51.0640288228096,4.43026737153192,"W","Zennegat Afwaarts DVW tij/Dijle","04LD-ZEN-AFW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"236",415,"0488059010"," 4 januari 2024 07:00",NA,0,50.8345989004597,3.27036380974287,"H","Kortrijk/Leie","04lei09a-1066","MOW-HIC","HIC","0","Leiebekken","Normaal"
"237",416,"0193668042"," 4 januari 2024 07:02",NA,0,51.2816187231575,3.27013220321965,"H","Dudzele/Ronselarebeek","01S02_45B","VMM","Oostkustpolder","0","Bekken Brugse polders","Normaal"
"238",418,"01122346042"," 4 januari 2024 07:02",NA,0,51.1099420031053,3.7693759596302,"H","Oostakker/Wittewalle","01S03_309","VMM","Polder Moervaart en Zuidlede","0","Bekken Gentse kanalen","Normaal"
"239",419,"0193564042"," 4 januari 2024 07:02",NA,0,50.8824186599493,3.55658487352404,"H","Wannegem-Lede/Stampkotbeek","01L06_34F","VMM","VMM","0","Boven-Scheldebekken","Normaal"
"240",424,"0488339010"," 4 januari 2024 07:00",NA,0,50.9915081020793,3.72241218573518,"H","Zwijnaarde/Bovenschelde","04bos01o-1066","MOW-HIC","HIC","0","Boven-Scheldebekken","Normaal"
"241",425,"0193388042"," 4 januari 2024 07:02",NA,0,50.8670749442317,4.6989602849318,"H","Heverlee/Molenbeek","01L08_115","VMM","VMM","0","Dijlebekken","Normaal"
"242",427,"0488047010"," 4 januari 2024 07:00",NA,0,50.7867091851619,3.49030427575471,"H","Kerkhove Opwaarts/Bovenschelde","04bos04o-1066","MOW-HIC","HIC","0","Boven-Scheldebekken","Normaal"
"243",431,"0193844042"," 4 januari 2024 06:15",NA,0,50.8916058938363,4.44812491620403,"Hopw","Diegem/Woluwe/rooster","01K08_050","VMM","VMM","0","Dijlebekken","Normaal"
"244",432,"0488223010"," 4 januari 2024 07:15",NA,0,50.829687059455,4.00959479619852,"H","Pollare Opwaarts DVW/Dender","04OW406-OPW-1073","MOW-HIC","DVW-ARW","0","Denderbekken","Normaal"
"245",433,"0193156042"," 4 januari 2024 07:02",NA,0,50.9425818026234,4.06203208759448,"H","Aalst/Molenbeek","01L07_28C","VMM","VMM","0","Denderbekken","Normaal"
"246",434,"0494234010"," 4 januari 2024 07:14",NA,0,51.2964240105486,4.28599427986303,"W","Liefkenshoek tij/Zeeschelde","04zes10a-1066","MOW-HIC","HIC","0","Beneden-Scheldebekken","Normaal"
"247",437,"0488107010"," 4 januari 2024 07:15",NA,0,50.7660068751485,4.2692524831704,"H","Lot Sluis Opwaarts DVW/Kl Brussel-Charleroi","04KC-LOT-OPW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"248",19,"04123843010"," 4 januari 2024 07:15",NA,1,51.090384958517,3.67175040664054,"H","Evergem Afwaarts DVW/Ringvaart","04OW023-AFW-1073","MOW-HIC","DVW-ARW","0","Bekken Gentse kanalen","Pre-Waak"
"249",25,"0484259010"," 4 januari 2024 07:15",NA,1,51.2429346602544,3.40159776749754,"H","Maldegem DVW/Afleidingskl Leie","04OW014A-1073","MOW-HIC","DVW-ARW","1","Bekken Brugse polders","Pre-Waak"
"250",38,"0488139010"," 4 januari 2024 07:00",NA,1,51.0117666194,3.73874789229143,"H","Merelbeke 700m Opwaarts/Ringvaart","04rvg05a-1066","MOW-HIC","HIC","0","Bekken Gentse kanalen","Pre-Waak"
"251",39,"0493630010"," 4 januari 2024 07:10",NA,1,50.8895268896897,5.68307396843956,"H","Lanaken-Smeermaas rkm 18.4/Maas","04maa08a-1066","MOW-HIC","HIC","0","Maasbekken","Pre-Waak"
"252",66,"0487947010"," 4 januari 2024 07:15",NA,1,51.0888683616123,3.66310897400762,"H","Evergem Stuw Opwaarts DVW/Ringvaart","04OW023-ST-OPW-1073","MOW-HIC","DVW-ARW","0","Bekken Gentse kanalen","Pre-Waak"
"253",99,"0493480010"," 4 januari 2024 06:50",NA,1,50.8285781695272,5.69674242342051,"Q","Sint-Pieter Noord rkm 10.8/Maas","04SINT-WL1-1060","MOW-HIC","RWS","1","Maasbekken","Pre-Waak"
"254",115,"04123855010"," 4 januari 2024 07:15",NA,1,51.036808325104,3.68395339904117,"H","Gent Keersluis K2 DVW/Ringvaart","04OW016-OPW-1073","MOW-HIC","DVW-ARW","0","Bekken Gentse kanalen","Pre-Waak"
"255",116,"0487959010"," 4 januari 2024 07:00",NA,1,51.0917611957756,4.94610627193861,"H","Geel-Zammel/Grote Nete","04gnt07a-1066","MOW-HIC","HIC","1","Netebekken","Pre-Waak"
"256",117,"0488011010"," 4 januari 2024 07:00",NA,1,50.7286988247255,3.38788014170151,"H","Helkijn/Bovenschelde","04bos05m-1066","MOW-HIC","HIC","1","Boven-Scheldebekken","Pre-Waak"
"257",128,"0487975010"," 4 januari 2024 07:10",NA,1,51.1887369271052,4.74236404327005,"H","Grobbendonk Troon/Kleine Nete","04knt03a-1066","MOW-HIC","HIC","1","Netebekken","Pre-Waak"
"258",136,"04123839010"," 4 januari 2024 07:15",NA,1,51.1975757986625,3.22257683311064,"H","Brugge DVW/Kerkebeek","04WW044-OPW-KER-1073","MOW-HIC","DVW-ARW","0","Bekken Brugse polders","Pre-Waak"
"259",137,"0488263010"," 4 januari 2024 07:00",NA,1,50.9134704825591,3.4288159529755,"H","Sint-Baafs-Vijve 1200m Afwaarts/Leie","04lei06b-1066","MOW-HIC","HIC","1","Leiebekken","Pre-Waak"
"260",164,"0487867010"," 4 januari 2024 07:00",NA,1,51.2205853491119,3.23543773788114,"H","Brugge Afwaarts/Zuidervaart","04lek13c-1066","MOW-HIC","HIC","0","Bekken Brugse polders","Pre-Waak"
"261",179,"0488207010"," 4 januari 2024 07:00",NA,1,51.20996072301,3.00385759798676,"H","Oudenburg-Plassendale/Kl Gent-Oostende","04kgo02a-1066","MOW-HIC","HIC","0","Bekken Brugse polders","Pre-Waak"
"262",210,"04123897010"," 4 januari 2024 07:10",NA,1,51.0898770105087,3.66643384043862,"H","Evergem/Ringvaart","04rvg03a-1066","MOW-HIC","HIC","0","Bekken Gentse kanalen","Pre-Waak"
"263",214,"0487951010"," 4 januari 2024 07:00",NA,1,51.0877134881815,3.6594010889156,"H","Evergem Opwaarts/Ringvaart","04rvg04e-1066","MOW-HIC","HIC","1","Bekken Gentse kanalen","Pre-Waak"
"264",230,"0488295010"," 4 januari 2024 07:00",NA,1,51.2085876631042,3.12554729443742,"H","Varsenare/Kl Gent-Oostende","04kgo03a-1066","MOW-HIC","HIC","1","Bekken Brugse polders","Pre-Waak"
"265",253,"0488283010"," 4 januari 2024 07:00",NA,1,51.0085585010976,4.95488273057215,"H","Testelt/Demer","04dem03a-1066","MOW-HIC","HIC","0","Demerbekken","Pre-Waak"
